abv,ibu,id,name,style,brewery_id,ounces
0.064,62.0,422,Bengali Tiger (2011),American IPA,46,16.0
0.045,,1942,Rudie Session IPA,American IPA,264,12.0
0.068,65.0,1521,Modus Hoperandi,American IPA,264,12.0
0.068,65.0,67,Modus Hoperandi,American IPA,264,12.0
0.071,92.0,1609,Initial Point India Pale Ale,American IPA,313,12.0
0.085,,2537,Monkey Dancing On A Razor Blade,Belgian IPA,64,24.0
0.06,70.0,2305,Homefront IPA,American IPA,163,12.0
0.062,,1211,360° India Pale Ale,American IPA,371,12.0
0.084,90.0,894,Odyssey Imperial IPA,American Double / Imperial IPA,371,12.0
0.07,113.0,24,113 IPA,American IPA,371,12.0
0.07,88.0,2407,Rule G IPA,American IPA,115,12.0
0.068,60.0,393,Pako’s EyePA,American IPA,191,12.0
0.092,,1655,Double Dagger Imperial IPA,American Double / Imperial IPA,309,12.0
0.063,100.0,1596,Dagger Falls IPA,American IPA,309,12.0
0.063,100.0,1595,Dagger Falls IPA,American IPA,309,12.0
0.079,,1447,Hopnoxious Imperial IPA,American Double / Imperial IPA,309,12.0
0.063,100.0,879,Dagger Falls IPA,American IPA,309,12.0
0.055,40.0,1971,Texas Pale Ale (TPA),American IPA,257,16.0
0.055,65.0,1282,Nice Rack IPA,American IPA,436,16.0
0.075,72.0,2362,2014 IPA Cicada Series,American IPA,133,16.0
0.077,65.0,2346,Sinister Minister Black IPA,American IPA,133,16.0
0.085,110.0,1728,Red Cockaded Ale,American Double / Imperial IPA,118,12.0
0.092,100.0,1497,Valkyrie Double IPA,American Double / Imperial IPA,118,12.0
0.085,110.0,1011,Red Cockaded Ale (2013),American Double / Imperial IPA,118,12.0
0.099,100.0,853,PRO-AM (2012) (2012),American Double / Imperial IPA,118,12.0
0.047,35.0,2486,Baby Daddy Session IPA,American IPA,78,12.0
,,763,Hopluia (2004),English India Pale Ale (IPA),508,16.0
0.096,,2206,Bitter Biker Double IPA,American Double / Imperial IPA,175,16.0
0.079,,2135,Working for the Weekend,American Double / Imperial IPA,175,16.0
0.096,,1821,Bitter Biker Double IPA,American Double / Imperial IPA,175,12.0
0.062,,1819,Spiteful IPA,American IPA,175,12.0
0.065,52.0,1205,Northern Lights India Pale Ale,American IPA,383,16.0
0.065,52.0,368,Northern Lights India Pale Ale,American IPA,383,12.0
0.065,65.0,90,Third Eye Pale Ale,American IPA,119,12.0
0.063,64.0,2150,Beyond The Pale IPA,American IPA,131,12.0
0.072,70.0,637,Monkeynaut IPA,American IPA,412,12.0
0.083,100.0,2415,Unchained #18 Hop Silo,American Double / Imperial IPA,58,16.0
0.064,75.0,2001,Fistful Of Hops Red,American IPA,25,16.0
0.063,75.0,2000,Fistful of Hops Orange,American IPA,25,16.0
0.064,75.0,1999,Fistful Of Hops Blue,American IPA,25,16.0
0.064,75.0,1996,Fistful of Hops Green,American IPA,25,16.0
,,1948,30 Min Coma,Belgian IPA,25,16.0
0.075,77.0,1420,Grapefruit Jungle (GFJ),American IPA,25,16.0
0.091,91.0,651,Isis,American Double / Imperial IPA,25,16.0
0.075,77.0,532,Grapefruit Jungle (GFJ) (2011),American IPA,25,16.0
0.07,,1206,Red Clay IPA,American IPA,455,12.0
0.072,,2543,Todd the Axe Man,American IPA,61,16.0
0.073,69.0,1112,Overrated! West Coast Style IPA,American IPA,61,16.0
0.075,90.0,329,WET,American IPA,61,16.0
0.097,120.0,15,Abrasive Ale,American Double / Imperial IPA,61,16.0
0.062,99.0,12,Furious,American IPA,61,16.0
0.073,50.0,1242,Big Nose,American IPA,447,12.0
0.064,,1710,SweetWater IPA,American IPA,49,12.0
0.08,95.0,1229,Dodgy Knight Imperial IPA,American Double / Imperial IPA,449,12.0
0.05,44.0,663,TailGate IPA,American IPA,449,24.0
0.05,44.0,662,TailGate IPA,American IPA,449,12.0
0.068,110.0,1017,Ethos IPA,American IPA,45,16.0
0.072,93.0,104,Oasis (2010),American Double / Imperial IPA,45,16.0
0.063,60.0,101,Tallgrass IPA,American IPA,45,16.0
0.068,,1433,Hat Trick Hop IPA,American IPA,409,16.0
0.07,80.0,544,Old Elephant Foot IPA,American IPA,490,16.0
0.07,,2448,Reactor,American IPA,7,16.0
0.064,,827,Tempter IPA,American IPA,480,12.0
0.066,,1939,Gatecrasher,English India Pale Ale (IPA),210,12.0
0.071,69.0,2116,Brutus,English India Pale Ale (IPA),215,12.0
0.096,,1915,The Crusher,American Double / Imperial IPA,272,16.0
0.07,,1810,Focal Banger,American IPA,272,16.0
0.08,120.0,1111,Heady Topper,American Double / Imperial IPA,272,16.0
0.08,120.0,379,Heady Topper,American Double / Imperial IPA,272,16.0
0.07,75.0,1199,Indian Paintbrush IPA,American IPA,457,12.0
0.05,,2034,South Bay Session IPA,American IPA,33,16.0
0.099,101.0,1561,Double Trunk,American Double / Imperial IPA,33,16.0
0.046,45.0,1749,Just IPA,American IPA,328,12.0
0.062,82.0,2316,Hoodoo Voodoo IPA,American IPA,153,12.0
0.06,50.0,1912,40 Mile IPA,American IPA,273,12.0
0.065,,1222,Cropduster Mid-American IPA,American IPA,282,12.0
0.085,115.0,1449,Overlord Imperial IPA,American Double / Imperial IPA,17,16.0
0.0579999999999999,36.0,951,Alloy,American IPA,17,16.0
0.07,60.0,1755,Juke Joint IPA,American IPA,152,12.0
0.073,87.0,1856,IPA & a Half,American IPA,291,12.0
0.068,,1026,Preservation IPA,American IPA,474,16.0
0.062,72.0,1938,Almanac IPA,American IPA,265,12.0
0.057,,594,Triangle India Pale Ale,American IPA,524,12.0
0.075,85.0,1509,Perpetual IPA,American IPA,97,12.0
0.062,65.0,641,Hoppy Boy,American IPA,520,16.0
0.075,63.0,2458,Chupahopra,American IPA,38,12.0
0.0409999999999999,41.0,2235,Day Hike Session,American IPA,190,12.0
0.048,48.0,1661,Trailhead ISA,American IPA,190,12.0
0.062,70.0,1659,Evo IPA,American IPA,190,12.0
0.062,70.0,1173,Evolutionary IPA (2012),American IPA,190,12.0
0.062,70.0,505,Evolutionary IPA (2011),American IPA,190,12.0
0.048,48.0,482,Trailhead India Style Session Ale (2011),American IPA,190,12.0
0.063,69.0,2497,Wobble,American IPA,74,16.0
0.065,,642,Outlaw IPA (2015),American IPA,74,12.0
0.06,,1189,Honeyspot Road White IPA,American White IPA,435,12.0
0.072,,1171,Road 2 Ruin Double IPA,American Double / Imperial IPA,435,12.0
0.04,42.0,1925,Trader Session IPA,American IPA,159,12.0
0.073,83.0,1723,Hop Nosh IPA,American IPA,159,12.0
0.073,82.0,1089,Hop Notch IPA (2013),American IPA,159,12.0
0.06,75.0,2372,The Green Room,American IPA,126,16.0
0.085,90.0,2507,Double Duckpin,American Double / Imperial IPA,71,12.0
0.045,50.0,2190,Campside Session IPA,American IPA,202,16.0
0.06,,1950,Dragonfly IPA,American IPA,202,16.0
0.065,33.0,1932,Thai Style White IPA,American White IPA,51,12.0
0.099,90.0,1315,Upslope Imperial India Pale Ale,American Double / Imperial IPA,51,19.2
0.072,,79,Upslope India Pale Ale,American IPA,51,12.0
0.065,70.0,381,Upstate I.P.W.,American IPA,546,12.0
0.09,75.0,1825,Squatters Hop Rising Double IPA,American Double / Imperial IPA,302,12.0
0.06,,1823,Wasatch Ghostrider White IPA,American White IPA,302,12.0
0.06,,1682,Wasatch Ghostrider White IPA (2014),American White IPA,302,12.0
0.09,75.0,1680,Squatters Hop Rising Double IPA (2014),American Double / Imperial IPA,302,12.0
0.073,85.0,1603,Good Vibes IPA,American IPA,322,12.0
0.04,37.0,1846,Wachusett Light IPA,American IPA,295,12.0
0.06,55.0,1845,Green Monsta IPA,American IPA,295,12.0
0.0559999999999999,50.0,1844,Wachusett IPA,American IPA,295,12.0
0.085,85.0,1418,Larry Imperial IPA,American Double / Imperial IPA,295,12.0
0.04,37.0,1029,Wachusett Light IPA (2013),American IPA,295,12.0
0.06,55.0,618,Green Monsta IPA,American IPA,295,12.0
0.052,67.0,2450,Self Starter,American IPA,94,16.0
0.07,,2221,Flyin' Rye,American IPA,94,16.0
,,652,West Sixth IPA,American IPA,100,12.0
0.068,65.0,575,Westbrook IPA,American IPA,384,12.0
0.0579999999999999,55.0,1550,Charlie in the Rye,American IPA,351,12.0
0.075,89.0,2343,O’Malley’s IPA,American IPA,132,12.0
0.05,,2572,Hop Session,American IPA,47,12.0
0.06,,1498,Super G IPA,American IPA,396,16.0
0.082,100.0,1619,Hop Slayer Double IPA,American Double / Imperial IPA,361,12.0
0.082,100.0,740,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
0.082,100.0,430,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
0.074,83.0,762,Ace IPA,American IPA,509,16.0
0.071,60.0,2148,#002 American I.P.A.,American IPA,211,12.0
0.048,38.0,2146,#004 Session I.P.A.,American IPA,211,12.0
0.062,61.0,1470,Ananda India Pale Ale,American IPA,239,12.0
0.0579999999999999,72.0,2627,Train Hopper,American IPA,14,12.0
0.059,135.0,1676,Troopers Alley IPA,American IPA,344,12.0
0.065,82.0,2417,4000 Footer IPA,American IPA,109,12.0
0.065,69.0,1697,Be Hoppy IPA,American IPA,339,16.0
0.069,69.0,2194,Worthy IPA,American IPA,199,12.0
0.077,30.0,1513,Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,199,12.0
0.069,69.0,1512,Worthy IPA (2013),American IPA,199,12.0
0.067,45.0,928,Belgorado,Belgian IPA,424,12.0
